Nome do Repositório,Estrelas,Razão Fechamento Issues:
SDWebImage,25023,96.38%
30-Days-Of-React,24993,24.29%
Avalonia,24978,80.51%
DeepSpeech,24953,94.22%
proxyee-down,24943,0.00%
langflow,24930,90.78%
firecracker,24929,94.64%
LLMs-from-scratch,24929,100.00%
jumpserver,24910,99.63%
faas,24902,96.34%
apollo,24901,81.76%
react-native-elements,24892,95.02%
ChatDev,24871,91.24%
SmartRefreshLayout,24843,78.48%
go-patterns,24839,43.33%
nsq,24808,91.42%
nylas-mail,24801,71.42%
go,24785,83.93%
pipenv,24782,93.79%
eslint,24778,99.22%
setup-ipsec-vpn,24776,100.00%
textual,24775,94.55%
feather,24748,38.96%
diffusers,24740,88.30%
awesome-vscode,24734,53.06%
table,24717,93.57%
awesome-swift,24667,99.24%
localForage,24664,70.53%
EventBus,24658,83.13%
openzeppelin-contracts,24650,89.61%
react-admin,24642,98.47%
micro,24636,64.77%
awesome-actions,24632,63.41%
vscodium,24621,91.77%
rust-course,24615,73.16%
TrackersListCollection,24610,0.00%
devtools,24599,71.03%
create-t3-app,24598,94.68%
docker_practice,24597,98.10%
idiomatic.js,24564,57.83%
eShopOnContainers,24553,96.33%
iTerm2-Color-Schemes,24553,78.70%
awesome-datascience,24514,98.15%
envoy,24508,86.50%
Mask_RCNN,24490,30.92%
autocomplete,24484,73.59%
logrus,24445,99.57%
CasaOS,24431,62.83%
locust,24429,98.97%
flameshot,24375,74.42%
fyne,24333,76.78%
RxSwift,24299,98.72%
Telegram,24292,0.00%
